x,y,phi,vx,vy,w
1.5613424142938286,-2.656049133287994,-2.656049133287994,0.02,0.0,0.0
1.5612577301148451,-2.656217022974617,-2.656217022974617,0.04,0.0,0.0
1.5608505613513417,-2.656231853466714,-2.656231853466714,0.06,0.0,0.0
1.5608505613513417,-2.656231853466714,-2.656231853466714,0.08,0.0,0.0
1.5600935354490535,-2.656167712140079,-2.656167712140079,0.1,0.0,0.0
1.5588161850105173,-2.656183921691935,-2.656183921691935,0.12000000000000001,0.0,0.0
1.5588161850105173,-2.656183921691935,-2.656183921691935,0.14,0.0,0.0
1.557137323303061,-2.6562549098307398,-2.6562549098307398,0.16,0.0,0.0
1.557137323303061,-2.6562549098307398,-2.6562549098307398,0.18,0.0,0.0
1.557137323303061,-2.6562549098307398,-2.6562549098307398,0.19999999999999998,0.0,0.0
1.554650387010587,-2.6562837950697777,-2.6562837950697777,0.2,0.0,0.0
1.554650387010587,-2.6562837950697777,-2.6562837950697777,0.2,0.0,0.0
1.5496743745884027,-2.6559089054440643,-2.6559089054440643,0.2,0.0,0.0
1.5496743745884027,-2.6559089054440643,-2.6559089054440643,0.2,0.0,0.0
1.5496743745884027,-2.6559089054440643,-2.6559089054440643,0.2,0.0,0.0
1.5496743745884027,-2.6559089054440643,-2.6559089054440643,0.2,0.0,0.0
1.5470584101667237,-2.655878542309233,-2.655878542309233,0.2,0.0,0.0
1.5470584101667237,-2.655878542309233,-2.655878542309233,0.2,0.0,0.0
1.5470584101667237,-2.655878542309233,-2.655878542309233,0.2,0.0,0.0
1.5410545338679997,-2.6564584096833435,-2.6564584096833435,0.2,0.0,0.0
1.5403964167045883,-2.656580077313297,-2.656580077313297,0.2,0.0,0.0
1.5403964167045883,-2.656580077313297,-2.656580077313297,0.2,0.0,0.0
1.5403964167045883,-2.656580077313297,-2.656580077313297,0.2,0.0,0.0
1.5368409641072607,-2.6570283323989963,-2.6570283323989963,0.2,0.0,0.0
1.5368409641072607,-2.6570283323989963,-2.6570283323989963,0.2,0.0,0.0
1.5368409641072607,-2.6570283323989963,-2.6570283323989963,0.2,0.0,0.0
1.5368409641072607,-2.6570283323989963,-2.6570283323989963,0.2,0.0,0.0
